51002;20;20;0
51003;20;20;1
51004;80;80;1
51005;80;80;0
52001;0;0;0
52002;10;10;0
52003;10;10;1
52004;30;10;1
52005;30;30;1
52006;10;30;1
52007;10;10;1
52008;10;10;0
53001;0;0;0
53002;10;10;0
53003;10;10;1
53004;30;10;1
53005;20;30;1
53006;10;10;1
53007;10;10;0
55001;0;0;0
55002;25;10;0
55003;25;10;1
55004;50;80;1
55005;75;10;1
55006;75;10;0
55007;36;4;0
55008;36;4;1
55009;64;4;1
55010;64;4;0
58001;0;0;0
58002;20;20;0
58003;20;20;1
58004;20;60;1
58005;40;75;1
58006;80;75;1
58007;80;35;1
58008;60;20;1
58009;20;20;1
58010;20;20;0
58011;20;60;0
58012;20;60;1
58013;60;60;1
58014;60;20;1
58015;60;20;0
58016;40;75;0
58017;40;75;1
58018;60;60;1
58018;60;60;0
51001;0;0;0
